system:time_start,LST_Day_1km
"Jan 1, 2008",-8.91
"Jan 2, 2008",-9.828
"Jan 3, 2008",-17.727
"Jan 4, 2008",-12.641
"Jan 5, 2008",-13.166
"Jan 6, 2008",-12.742
"Jan 7, 2008",-14.924
"Jan 8, 2008",-14.083
"Jan 9, 2008",-13.453
"Jan 10, 2008",-13.527
"Jan 11, 2008",-14.782
"Jan 12, 2008",-14.409
"Jan 13, 2008",-15.827
"Jan 14, 2008",
"Jan 15, 2008",-8.552
"Jan 16, 2008",-3.268
"Jan 17, 2008",-5.063
"Jan 18, 2008",-15.609
"Jan 19, 2008",-2.972
"Jan 20, 2008",-3.138
"Jan 21, 2008",-6.534
"Jan 22, 2008",-11.186
"Jan 23, 2008",-6.634
"Jan 24, 2008",-4.641
"Jan 25, 2008",-4.29
"Jan 26, 2008",
"Jan 27, 2008",0.652
"Jan 28, 2008",-5.209
"Jan 29, 2008",-4.642
"Jan 30, 2008",-5.569
"Jan 31, 2008",-13.38
"Feb 1, 2008",-6.437
"Feb 2, 2008",-6.211
"Feb 3, 2008",-6.236
"Feb 4, 2008",-6.533
"Feb 5, 2008",-18.174
"Feb 6, 2008",-10.041
"Feb 7, 2008",-15.944
"Feb 8, 2008",-5.391
"Feb 9, 2008",-12.41
"Feb 10, 2008",-6.854
"Feb 11, 2008",-12.14
"Feb 12, 2008",
"Feb 13, 2008",-13.977
"Feb 14, 2008",-12.908
"Feb 15, 2008",-16.059
"Feb 16, 2008",-3.96
"Feb 17, 2008",-6.661
"Feb 18, 2008",-3.976
"Feb 19, 2008",-9.408
"Feb 20, 2008",-9.503
"Feb 21, 2008",-14.532
"Feb 22, 2008",-9.032
"Feb 23, 2008",-7.519
"Feb 24, 2008",-5.707
"Feb 25, 2008",-7.297
"Feb 26, 2008",-10.24
"Feb 27, 2008",-5.216
"Feb 28, 2008",-4.639
"Feb 29, 2008",-3.542
"Mar 1, 2008",-15.667
"Mar 2, 2008",-2.54
"Mar 3, 2008",-1.655
"Mar 4, 2008",-2.523
"Mar 5, 2008",-11.666
"Mar 6, 2008",-2.994
"Mar 7, 2008",-2.734
"Mar 8, 2008",-4.365
"Mar 9, 2008",-2.69
"Mar 10, 2008",-3.532
"Mar 11, 2008",-5.321
"Mar 12, 2008",-6.74
"Mar 13, 2008",-7.848
"Mar 14, 2008",-9.176
"Mar 15, 2008",-5.957
"Mar 16, 2008",-0.724
"Mar 17, 2008",-6.189
"Mar 18, 2008",-4.796
"Mar 19, 2008",-8.846
"Mar 20, 2008",-11
"Mar 21, 2008",-12.915
"Mar 22, 2008",-8.457
"Mar 23, 2008",-7.43
"Mar 24, 2008",-7.342
"Mar 25, 2008",-6.856
"Mar 26, 2008",-7.207
"Mar 27, 2008",-7.522
"Mar 28, 2008",-4.576
"Mar 29, 2008",
"Mar 30, 2008",1.255
"Mar 31, 2008",-3.207
"Apr 1, 2008",-1.196
"Apr 2, 2008",-0.341
"Apr 3, 2008",3.189
"Apr 4, 2008",-0.363
"Apr 5, 2008",-0.782
"Apr 6, 2008",0.454
"Apr 7, 2008",-4.135
"Apr 8, 2008",-4.148
"Apr 9, 2008",-1.316
"Apr 10, 2008",-3.987
"Apr 11, 2008",-3.407
"Apr 12, 2008",-2.108
"Apr 13, 2008",-2.831
"Apr 14, 2008",-0.309
"Apr 15, 2008",-1.225
"Apr 16, 2008",-0.162
"Apr 17, 2008",-1.846
"Apr 18, 2008",-1.299
"Apr 19, 2008",-3.677
"Apr 20, 2008",-3.164
"Apr 21, 2008",-1.13
"Apr 22, 2008",0.487
"Apr 23, 2008",7.703
"Apr 24, 2008",6.216
"Apr 25, 2008",3.2
"Apr 26, 2008",-0.363
"Apr 27, 2008",0.535
"Apr 28, 2008",6.269
"Apr 29, 2008",3.873
"Apr 30, 2008",2.818
"May 1, 2008",2.87
"May 2, 2008",2.903
"May 3, 2008",3.991
"May 4, 2008",5.158
"May 5, 2008",6.654
"May 6, 2008",5.819
"May 7, 2008",4.069
"May 8, 2008",7.344
"May 9, 2008",7.836
"May 10, 2008",8.027
"May 11, 2008",-12.123
"May 12, 2008",2.292
"May 13, 2008",6.991
"May 14, 2008",6.927
"May 15, 2008",7.1
"May 16, 2008",-0.273
"May 17, 2008",4.108
"May 18, 2008",8.853
"May 19, 2008",9.836
"May 20, 2008",4.422
"May 21, 2008",8.881
"May 22, 2008",
"May 23, 2008",5.91
"May 24, 2008",1.294
"May 25, 2008",8.675
"May 26, 2008",10.84
"May 27, 2008",7.366
"May 28, 2008",-2.427
"May 29, 2008",15.246
"May 30, 2008",12.676
"May 31, 2008",
"Jun 1, 2008",10.956
"Jun 2, 2008",12.422
"Jun 3, 2008",14.199
"Jun 4, 2008",10.922
"Jun 5, 2008",3.674
"Jun 6, 2008",10.602
"Jun 7, 2008",14.899
"Jun 8, 2008",15.765
"Jun 9, 2008",-0.829
"Jun 10, 2008",13.473
"Jun 11, 2008",10.602
"Jun 12, 2008",7.758
"Jun 13, 2008",6.72
"Jun 14, 2008",15.49
"Jun 15, 2008",13.394
"Jun 16, 2008",11.066
"Jun 17, 2008",10.11
"Jun 18, 2008",-1.763
"Jun 19, 2008",
"Jun 20, 2008",-5.45
"Jun 21, 2008",11.704
"Jun 22, 2008",13.195
"Jun 23, 2008",7.162
"Jun 24, 2008",-3.574
"Jun 25, 2008",-6.254
"Jun 26, 2008",9.717
"Jun 27, 2008",14.242
"Jun 28, 2008",12.204
"Jun 29, 2008",10.522
"Jun 30, 2008",11.446
"Jul 1, 2008",10.694
"Jul 2, 2008",14.358
"Jul 3, 2008",
"Jul 4, 2008",-2.095
"Jul 5, 2008",-8.948
"Jul 6, 2008",14.42
"Jul 7, 2008",17.075
"Jul 8, 2008",16.41
"Jul 9, 2008",10.17
"Jul 10, 2008",10.77
"Jul 11, 2008",13.399
"Jul 12, 2008",10.337
"Jul 13, 2008",14.082
"Jul 14, 2008",16.049
"Jul 15, 2008",15.366
"Jul 16, 2008",10.537
"Jul 17, 2008",10.889
"Jul 18, 2008",11.769
"Jul 19, 2008",13.536
"Jul 20, 2008",12.186
"Jul 21, 2008",12.663
"Jul 22, 2008",5.331
"Jul 23, 2008",8.398
"Jul 24, 2008",16.229
"Jul 25, 2008",17.409
"Jul 26, 2008",17.862
"Jul 27, 2008",16.125
"Jul 28, 2008",16.846
"Jul 29, 2008",19.39
"Jul 30, 2008",19.406
"Jul 31, 2008",19.532
"Aug 1, 2008",16.166
"Aug 2, 2008",18.451
"Aug 3, 2008",18.762
"Aug 4, 2008",15.989
"Aug 5, 2008",15.698
"Aug 6, 2008",19.193
"Aug 7, 2008",16.371
"Aug 8, 2008",19.803
"Aug 9, 2008",22.136
"Aug 10, 2008",12.694
"Aug 11, 2008",14.501
"Aug 12, 2008",15.434
"Aug 13, 2008",14.556
"Aug 14, 2008",13.375
